ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME
Sergey,Yakovlev,RUS,130,00:19:30,00:00:00,01:16:49,00:00:00,00:36:20,60,02:12:40
Stephan,Seider,GER,183,00:18:21,00:00:00,01:12:09,00:00:00,00:42:15,61,02:12:47
Maik,Friedrich,GER,0,00:19:23,00:00:00,01:17:09,00:00:00,00:36:22,62,02:12:55
Dominik,Berger,AUT,110,00:18:15,00:00:00,01:15:34,00:00:00,00:39:10,63,02:13:01
Benjamin,Vollmer,GER,171,00:18:44,00:00:00,01:13:38,00:00:00,00:40:41,64,02:13:03
Fabian,Sauter,GER,187,00:19:38,00:00:00,01:14:12,00:00:00,00:39:20,65,02:13:11
Julian,Mutterer,GER,198,00:20:33,00:00:00,01:14:41,00:00:00,00:38:06,66,02:13:20
Matthias,Dietze,GER,141,00:20:37,00:00:00,01:15:11,00:00:00,00:37:51,67,02:13:40
Daniel,Schmoll,GER,186,00:19:23,00:00:00,01:14:57,00:00:00,00:39:42,68,02:14:03
Jan,Raphael,GER,118,00:18:15,00:00:00,01:20:23,00:00:00,00:35:33,69,02:14:12
Markus,Müller,AUT,156,00:19:23,00:00:00,01:17:23,00:00:00,00:37:46,70,02:14:33
Erih,Pecnik,SLO,167,00:19:26,00:00:00,01:14:33,00:00:00,00:40:37,71,02:14:36
Stefan,Mohlbaum,GER,0,00:18:05,00:00:00,01:15:28,00:00:00,00:41:06,72,02:14:40
Joseph,Lampe,AUS,188,00:18:20,00:00:00,01:16:36,00:00:00,00:39:47,73,02:14:44
Matthias,Scherer,GER,177,00:18:50,00:00:00,01:13:33,00:00:00,00:42:27,74,02:14:50
Michael,Wetzel,GER,146,00:20:24,00:00:00,01:14:51,00:00:00,00:40:35,75,02:15:51
Martin,Flehmig,GER,154,00:19:19,00:00:00,01:15:14,00:00:00,00:41:21,76,02:15:55
Jiri,Hampejs,CZE,0,00:18:38,00:00:00,01:15:19,00:00:00,00:42:13,77,02:16:11
Bucky,Schafer,USA,98,00:18:53,00:00:00,01:19:16,00:00:00,00:38:05,78,02:16:14
Tom,Lorenzen,GER,175,00:19:47,00:00:00,01:15:11,00:00:00,00:42:12,79,02:17:11
Christian,Thomas,GER,180,00:19:08,00:00:00,01:14:05,00:00:00,00:44:17,80,02:17:32
Ben,Christopher,GER,148,00:20:40,00:00:00,01:18:37,00:00:00,00:38:53,81,02:18:11
André,Beltz,GER,149,00:18:33,00:00:00,01:19:45,00:00:00,00:39:54,82,02:18:13
Markus,Fischer,GER,0,00:21:06,00:00:00,01:17:58,00:00:00,00:39:13,83,02:18:18
Thomas,Thalhammer,AUT,0,00:20:32,00:00:00,01:18:59,00:00:00,00:38:53,84,02:18:24
Matej,Bizik,SVK,136,00:20:22,00:00:00,01:18:52,00:00:00,00:39:50,85,02:19:05
Steffen,Kundel,GER,0,00:19:56,00:00:00,01:17:16,00:00:00,00:42:16,86,02:19:29
Jakob,Herold,GER,155,00:19:26,00:00:00,01:20:09,00:00:00,00:39:55,87,02:19:33
Stefan,Weber,GER,144,00:20:02,00:00:00,01:20:00,00:00:00,00:39:43,88,02:19:46
Philip,Seipp,GER,190,00:19:45,00:00:00,01:19:02,00:00:00,00:41:52,89,02:20:40
Christian,Mokros,GER,151,00:19:27,00:00:00,01:20:10,00:00:00,00:41:46,90,02:21:23
David,Silver,USA,165,00:18:19,00:00:00,01:22:31,00:00:00,00:42:52,91,02:23:43
Alexander,Lewis,GBR,199,00:19:43,00:00:00,01:21:47,00:00:00,00:42:30,92,02:24:00
Frank-Peter,Müller,GER,189,00:18:47,00:00:00,01:20:52,00:00:00,00:44:32,93,02:24:13
Frank,Niemerg,GER,207,00:20:36,00:00:00,01:20:12,00:00:00,00:43:49,94,02:24:38
Donenique,Bogs,GER,143,00:20:31,00:00:00,01:26:52,00:00:00,00:40:28,95,02:27:51
Marek,Olszewski,POL,195,00:20:37,00:00:00,01:24:33,00:00:00,00:48:53,96,02:34:04
Hendrik,Buhr,GER,203,00:19:19,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Jan,Celustka,CZE,134,00:18:14,00:00:00,01:12:08,00:00:00,00:00:00,DNF,00:00:00
Michal ,Francke,CZE,159,00:19:09,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Marc-Andre,Hages,GER,0,00:19:19,00:00:00,01:21:45,00:00:00,00:00:00,DNF,00:00:00
Blair,Jordan,NZL,100,00:18:22,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Andreas,Raelert,GER,86,00:18:00,00:00:00,01:11:01,00:00:00,00:00:00,DNF,00:00:00
Paul,Schuster,GER,152,00:18:30,00:00:00,01:21:22,00:00:00,00:00:00,DNF,00:00:00
Patrick,Seitter,GER,191,00:20:38,00:00:00,01:19:16,00:00:00,00:00:00,DNF,00:00:00
Thomas,Tittel,GER,142,00:19:47,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Guido,Wientges,GER,0,00:18:41,00:00:00,00:00:00,00:00:00,00:00:00,DNF,00:00:00
Stefan,Zelle,GER,160,00:19:45,00:00:00,01:18:08,00:00:00,00:00:00,DNF,00:00:00
