U.S. Energy Information Administration,,,,,,,,,,,
October 2014 Monthly Energy Review,,,,,,,,,,,
,,,,,,,,,,,
Note: Information about data precision.,,,,,,,,,,,
,,,,,,,,,,,
"Release Date: October 28, 2014",,,,,,,,,,,
"Next Update: November 25, 2014",,,,,,,,,,,
,,,,,,,,,,,
Table 9.10 Natural Gas Prices,,,,,,,,,,,
,,,,,,,,,,,
Month,"Natural Gas Price, Wellhead","Natural Gas Price, City Gate","Natural Gas Price, Delivered to Consumers, Residential",Percentage of Residential Sector Consumption for Which Price Data Are Available,"Natural Gas Price, Delivered to Consumers, Commercial",Percentage of Commercial Sector Consumption for Which Price Data Are Available,"Natural Gas Price, Delivered to Consumers, Industrial",Percentage of Industrial Sector Consumption for Which Price Data Are Available,Natural Gas Transportation Sector Price,"Natural Gas Price, Electric Power Sector",Percentage of Electric Power Sector Consumption for Which Price Data Are Available
,(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Percent),(Dollars per Thousand Cubic Feet),(Dollars per Thousand Cubic Feet),(Percent)
28976,1.15,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.82,Not Available
29007,1.17,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.84,Not Available
29037,1.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.84,Not Available
29068,1.24,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.87,Not Available
29099,1.24,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.89,Not Available
29129,1.28,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.96,Not Available
29160,1.29,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.87,Not Available
29190,1.31,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.9,Not Available
29221,1.37,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2,Not Available
29252,1.42,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.1,Not Available
29281,1.46,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.13,Not Available
29312,1.51,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.09,Not Available
29342,1.56,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.17,Not Available
29373,1.57,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.15,Not Available
29403,1.64,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.36,Not Available
29434,1.64,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.45,Not Available
29465,1.69,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.45,Not Available
29495,1.71,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.52,Not Available
29526,1.76,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.37,Not Available
29556,1.74,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.31,Not Available
29587,1.77,Not Available,3.94,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.51,Not Available
29618,1.81,Not Available,3.99,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.67,Not Available
29646,1.86,Not Available,4.06,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.71,Not Available
29677,1.93,Not Available,4.11,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.81,Not Available
